filing_year,area_name,area_number,eviction_filings_total,eviction_filings_rate,eviction_filings_sealed,eviction_filings_unclear,eviction_filings_completed,case_type_single_action,case_type_joint_action,back_rent_median,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,landlord_prose,landlord_represented,tenant_prose,tenant_represented,tenant_rep_pa,tenant_rep_laa,eviction_order_yes,eviction_order_no,eviction_order_yes_tenant_prose,eviction_order_no_tenant_prose,eviction_order_yes_tenant_represented,eviction_order_no_tenant_represented,eviction_order_yes_tenant_rep_pa,eviction_order_no_tenant_rep_pa,eviction_order_yes_tenant_rep_laa,eviction_order_no_tenant_rep_laa,ftu_eviction_order,ftu_other_outcome,ftu_no_outcome,ftu_eviction_order_tenant_prose,ftu_other_outcome_tenant_prose,ftu_no_outcome_tenant_prose,ftu_eviction_order_tenant_represented,ftu_other_outcome_tenant_represented,ftu_no_outcome_tenant_represented,default_eviction_order_yes,default_eviction_order_no,default_eviction_order_yes_tenant_prose,default_eviction_order_no_tenant_prose,default_eviction_order_yes_tenant_represented,default_eviction_order_no_tenant_represented
2016,West Garfield Park,26,291,6.47,47,2,242,31,211,2000.0,31,25,103,55,28,61,181,216,26,22,4,149,93,139,77,10,16,10,12,0,4,51,32,159,50,31,135,1,1,24,28,214,28,188,0,26
2017,West Garfield Park,26,296,6.67,51,5,240,39,201,2005.0,38,23,107,47,25,61,179,216,24,21,3,135,105,124,92,11,13,11,10,0,3,60,32,148,57,32,127,3,0,21,31,209,29,187,2,22
2018,West Garfield Park,26,267,6.11,38,1,228,39,189,2155.47,50,19,80,36,43,56,172,201,27,23,4,157,71,140,61,17,10,16,7,1,3,57,22,149,54,22,125,3,0,24,49,179,48,153,1,26
2019,West Garfield Park,26,312,7.24,41,11,260,46,214,2190.0,45,27,101,60,27,66,194,234,26,23,3,156,104,140,94,16,10,16,7,0,3,56,40,164,54,40,140,2,0,24,51,209,47,187,4,22
2010,East Garfield Park,27,345,6.62,21,2,322,70,252,1813.5,68,56,120,55,23,108,214,283,39,23,16,201,121,187,96,14,25,11,12,3,13,115,37,170,114,36,133,1,1,37,32,290,30,253,2,37
2011,East Garfield Park,27,415,7.89,25,1,389,100,289,1653.25,99,86,108,61,35,95,294,338,51,30,21,221,168,203,135,18,33,16,14,2,19,127,33,229,125,32,181,2,1,48,54,335,52,286,2,49
2012,East Garfield Park,27,393,7.41,24,3,366,65,301,1825.0,64,71,126,68,37,86,280,323,43,23,20,226,140,213,110,13,30,10,13,3,17,137,48,181,137,47,139,0,1,42,72,294,70,253,2,41
2013,East Garfield Park,27,380,7.1,30,7,343,72,271,1546.5,67,92,104,58,22,59,284,305,38,24,14,190,153,172,133,18,20,15,9,3,11,106,62,175,105,62,138,1,0,37,29,314,27,278,2,36
2014,East Garfield Park,27,424,7.85,40,2,382,57,325,1600.0,57,99,117,65,44,77,305,347,35,31,4,204,178,196,151,8,27,8,23,0,4,120,74,188,119,73,155,1,1,33,22,360,21,326,1,34
2015,East Garfield Park,27,338,6.21,47,2,289,48,241,1680.63,47,66,101,51,24,54,235,254,35,24,11,158,131,147,107,11,24,9,15,2,9,86,50,153,84,49,121,2,1,32,23,266,21,233,2,33
2016,East Garfield Park,27,310,5.64,74,3,233,39,194,2009.95,39,49,69,49,27,45,188,198,35,22,13,143,90,129,69,14,21,14,8,0,13,71,27,135,68,26,104,3,1,31,37,196,36,162,1,34
2017,East Garfield Park,27,303,5.47,47,2,254,43,211,1725.0,39,49,106,38,22,35,219,227,27,23,4,146,108,138,89,8,19,7,16,1,3,76,32,146,75,32,120,1,0,26,27,227,27,200,0,27
2018,East Garfield Park,27,254,4.55,29,2,223,27,196,2089.36,39,38,67,49,30,32,191,195,28,22,6,136,87,128,67,8,20,8,14,0,6,64,36,123,63,34,98,1,2,25,41,182,41,154,0,28
2019,East Garfield Park,27,274,4.86,36,11,227,50,177,2150.0,51,21,80,48,27,30,197,207,20,18,2,127,100,117,90,10,10,10,8,0,2,51,36,140,50,36,121,1,0,19,53,174,52,155,1,19
2010,Near West Side,28,684,4.57,12,2,670,103,567,2240.09,103,155,150,150,112,21,649,588,82,45,37,322,348,302,286,20,62,16,29,4,33,189,92,389,188,91,309,1,1,80,93,577,91,497,2,80
2011,Near West Side,28,647,4.14,10,5,632,110,522,2154.26,108,138,155,138,93,23,609,555,77,37,40,334,298,316,239,18,59,18,19,0,40,204,67,361,201,66,288,3,1,73,98,534,97,458,1,76
2012,Near West Side,28,601,3.7,21,5,575,95,480,2565.0,94,103,130,157,91,20,555,495,80,41,39,300,275,275,220,25,55,18,23,7,32,167,78,330,165,75,255,2,3,75,100,475,99,396,1,79
2013,Near West Side,28,539,3.19,26,6,507,97,410,2095.85,91,128,99,127,62,21,486,427,80,51,29,268,239,238,189,30,50,23,28,7,22,173,80,254,167,77,183,6,3,71,42,465,37,390,5,75
2014,Near West Side,28,472,2.69,39,4,429,83,346,2300.0,78,100,82,95,74,15,414,361,68,30,38,233,196,213,148,20,48,15,15,5,33,146,63,220,143,60,158,3,3,62,27,402,25,336,2,66
2015,Near West Side,28,494,2.72,59,4,431,55,376,2283.64,55,102,98,119,57,15,416,376,55,37,18,228,203,205,171,23,32,23,14,0,18,140,93,198,137,93,146,3,0,52,43,388,43,333,0,55
2016,Near West Side,28,451,2.4,40,2,409,51,358,2185.43,51,93,105,92,68,7,402,356,53,38,15,206,203,179,177,27,26,22,16,5,10,124,90,195,118,88,150,6,2,45,51,358,48,308,3,50
2017,Near West Side,28,330,1.7,28,7,295,44,251,2905.97,44,32,70,96,53,13,282,256,39,26,13,148,147,134,122,14,25,11,15,3,10,84,53,158,82,52,122,2,1,36,44,251,43,213,1,38
2018,Near West Side,28,312,1.55,36,3,273,33,240,2938.36,36,41,62,86,48,6,267,240,33,23,10,137,136,122,118,15,18,13,10,2,8,66,68,139,64,67,109,2,1,30,42,231,41,199,1,32
2019,Near West Side,28,341,1.64,28,21,292,32,260,2998.88,34,50,56,81,71,7,285,259,33,27,6,149,143,134,125,15,18,15,12,0,6,82,68,142,80,66,113,2,2,29,69,223,68,191,1,32
2010,North Lawndale,29,529,5.92,35,4,490,123,367,1800.0,121,75,168,88,38,224,266,432,58,35,23,301,189,276,156,25,33,19,16,6,17,192,48,250,190,48,194,2,0,56,56,434,54,378,2,56
2011,North Lawndale,29,554,6.17,11,8,535,120,415,2025.0,118,83,164,113,57,210,325,465,70,43,27,339,196,317,148,22,48,18,25,4,23,190,26,319,190,26,249,0,0,70,82,453,80,385,2,68
2012,North Lawndale,29,598,6.64,39,7,552,117,435,1800.0,121,74,211,102,44,192,360,493,59,44,15,383,169,356,137,27,32,25,19,2,13,242,25,285,240,24,229,2,1,56,107,445,102,391,5,54
2013,North Lawndale,29,646,7.14,63,7,576,125,451,2042.5,125,73,198,115,65,209,367,514,62,47,15,406,170,380,134,26,36,23,24,3,12,229,28,319,227,27,260,2,1,59,36,540,36,478,0,62
2014,North Lawndale,29,638,7.03,69,7,562,108,454,2200.0,107,58,202,126,69,186,376,506,56,40,16,367,195,350,156,17,39,13,27,4,12,211,42,309,209,42,255,2,0,54,55,507,55,451,0,56
2015,North Lawndale,29,626,6.87,132,5,489,81,408,1960.0,79,65,199,96,50,140,349,423,66,53,13,319,170,297,126,22,44,18,35,4,9,159,34,296,158,33,232,1,1,64,59,430,57,366,2,64
2016,North Lawndale,29,552,6.04,88,2,462,98,364,2100.0,94,43,182,98,45,130,332,398,64,59,5,275,187,247,151,28,36,27,32,1,4,128,70,264,126,69,203,2,1,61,38,424,36,362,2,62
2017,North Lawndale,29,513,5.59,80,2,431,70,361,2014.0,67,52,168,104,40,101,330,377,54,41,13,279,152,251,126,28,26,23,18,5,8,126,51,254,121,51,205,5,0,49,59,372,55,322,4,50
2018,North Lawndale,29,528,5.73,43,4,481,62,419,2067.91,81,52,196,107,45,102,379,439,42,38,4,311,170,285,154,26,16,23,15,3,1,129,60,292,127,60,252,2,0,40,109,372,106,333,3,39
2019,North Lawndale,29,507,5.49,73,14,420,98,322,2216.41,98,33,147,94,48,67,353,373,47,40,7,263,157,234,139,29,18,25,15,4,3,79,37,304,78,37,258,1,0,46,117,303,109,264,8,39
2010,South Lawndale,30,302,2.75,15,2,285,88,197,1525.0,91,45,95,46,8,139,146,261,24,18,6,167,118,157,104,10,14,8,10,2,4,102,30,153,102,30,129,0,0,24,34,251,34,227,0,24
2011,South Lawndale,30,337,3.03,23,2,312,101,211,1530.0,101,51,102,44,14,170,142,279,33,19,14,193,119,183,96,10,23,9,10,1,13,121,31,160,119,29,131,2,2,29,37,275,34,245,3,30
2012,South Lawndale,30,384,3.41,39,1,344,108,236,1635.0,106,49,132,41,16,153,191,311,33,29,4,213,131,195,116,18,15,18,11,0,4,128,14,202,126,13,172,2,1,30,50,294,48,263,2,31
2013,South Lawndale,30,372,3.26,57,2,313,89,224,1542.5,87,43,121,48,14,137,176,270,43,28,15,198,115,175,95,23,20,18,10,5,10,116,13,184,116,13,141,0,0,43,27,286,27,243,0,43
2014,South Lawndale,30,383,3.32,45,2,336,78,258,1607.0,77,62,115,66,16,135,201,297,39,25,14,225,111,208,89,17,22,12,13,5,9,144,24,168,142,23,132,2,1,36,28,308,28,269,0,39
2015,South Lawndale,30,371,3.17,74,3,294,60,234,1500.0,62,45,124,49,14,120,174,265,29,24,5,195,99,187,78,8,21,8,16,0,5,117,21,156,116,21,128,1,0,28,33,261,32,233,1,28
2016,South Lawndale,30,361,3.05,86,1,274,64,210,1800.0,61,48,98,49,18,100,174,239,35,33,2,186,88,169,70,17,18,16,17,1,1,89,36,149,89,34,116,0,2,33,33,241,33,206,0,35
2017,South Lawndale,30,318,2.65,59,2,257,95,162,1800.0,91,29,88,36,13,105,152,229,28,23,5,171,86,157,72,14,14,12,11,2,3,84,30,143,84,30,115,0,0,28,26,231,26,203,0,28
2018,South Lawndale,30,222,1.83,42,1,179,50,129,1700.0,52,23,67,21,16,66,113,160,19,15,4,108,71,102,58,6,13,4,11,2,2,54,28,97,54,28,78,0,0,19,34,145,33,127,1,18
2019,South Lawndale,30,241,1.96,32,5,204,76,128,2202.0,74,18,55,35,22,85,119,182,22,17,5,123,81,113,69,10,12,7,10,3,2,49,25,130,49,25,108,0,0,22,37,167,37,145,0,22
2010,Lower West Side,31,176,1.96,11,0,165,54,111,1520.0,52,28,55,23,7,75,90,147,18,14,4,86,79,77,70,9,9,8,6,1,3,53,19,93,52,19,76,1,0,17,18,147,18,129,0,18
2011,Lower West Side,31,192,2.14,5,2,185,57,128,2080.0,54,15,62,33,21,96,89,168,17,13,4,114,71,104,64,10,7,10,3,0,4,74,20,91,72,20,76,2,0,15,20,165,20,148,0,17
2012,Lower West Side,31,168,1.87,5,2,161,43,118,1561.43,42,22,64,20,13,71,90,142,19,18,1,99,62,89,53,10,9,10,8,0,1,55,9,97,53,9,80,2,0,17,28,133,28,114,0,19
2013,Lower West Side,31,185,2.06,30,2,153,47,106,1631.38,47,22,49,27,8,48,105,134,19,16,3,87,66,79,55,8,11,6,10,2,1,51,12,90,51,12,71,0,0,19,11,142,11,123,0,19
2014,Lower West Side,31,188,2.1,22,1,165,42,123,1852.5,41,27,64,28,5,52,113,156,9,9,0,93,72,91,65,2,7,2,7,0,0,61,12,92,61,12,83,0,0,9,12,153,12,144,0,9
2015,Lower West Side,31,143,1.6,17,1,125,23,102,1650.0,24,19,55,20,7,45,80,110,15,9,6,67,58,60,50,7,8,6,3,1,5,36,18,71,34,18,58,2,0,13,6,119,6,104,0,15
2016,Lower West Side,31,108,1.21,24,0,84,13,71,1909.94,13,11,33,21,6,30,54,73,11,9,2,51,33,45,28,6,5,5,4,1,1,31,15,38,30,15,28,1,0,10,11,73,9,64,2,9
2017,Lower West Side,31,155,1.73,13,2,140,47,93,2250.0,45,20,35,26,14,41,99,122,18,12,6,80,60,74,48,6,12,5,7,1,5,36,19,85,36,18,68,0,1,17,12,128,12,110,0,18
2018,Lower West Side,31,105,1.17,16,0,89,19,70,3277.5,20,1,18,32,18,18,71,78,11,9,2,47,42,41,37,6,5,4,5,2,0,27,11,51,27,11,40,0,0,11,8,81,8,70,0,11
2019,Lower West Side,31,93,1.04,12,8,73,12,61,3500.0,12,2,18,23,18,17,56,63,10,10,0,47,26,39,24,8,2,8,2,0,0,13,9,51,13,9,41,0,0,10,18,55,17,46,1,9
2010,Loop,32,461,6.85,4,8,449,12,437,3351.62,10,19,125,177,118,13,436,403,46,44,2,231,218,207,196,24,22,22,22,2,0,106,72,271,104,72,227,2,0,44,95,354,90,313,5,41
2011,Loop,32,359,4.74,6,5,348,21,327,3445.92,17,21,92,114,104,12,336,301,47,44,3,170,178,151,150,19,28,18,26,1,2,68,45,235,67,45,189,1,0,46,68,280,61,240,7,40
2012,Loop,32,291,3.46,8,8,275,11,264,3520.44,9,14,74,92,86,8,267,251,24,21,3,128,147,119,132,9,15,8,13,1,2,65,48,162,62,48,141,3,0,21,56,219,54,197,2,22
2013,Loop,32,237,2.56,3,3,231,18,213,3538.27,18,8,54,92,59,5,226,200,31,30,1,102,129,91,109,11,20,11,19,0,1,55,42,134,55,41,104,0,1,30,24,207,24,176,0,31
2014,Loop,32,264,2.61,10,0,254,13,241,3456.28,12,20,62,96,64,7,247,230,24,22,2,101,153,94,136,7,17,5,17,2,0,59,60,135,58,59,113,1,1,22,20,234,20,210,0,24
2015,Loop,32,311,2.84,14,2,295,15,280,3566.29,15,17,73,108,82,3,292,260,35,34,1,128,167,108,152,20,15,19,15,1,0,75,94,126,72,93,95,3,1,31,41,254,36,224,5,30
2016,Loop,32,277,2.35,27,3,247,14,233,3641.83,13,14,54,93,73,1,246,213,34,34,0,125,122,106,107,19,15,19,15,0,0,59,66,122,58,65,90,1,1,32,45,202,42,171,3,31
2017,Loop,32,256,2.03,17,3,236,25,211,3856.32,24,6,50,73,83,2,234,194,42,41,1,128,108,101,93,27,15,27,14,0,1,68,50,118,65,50,79,3,0,39,50,186,45,149,5,37
2018,Loop,32,227,1.68,6,1,220,12,208,3980.0,13,7,53,63,84,4,216,198,22,20,2,106,114,93,105,13,9,13,7,0,2,65,67,88,65,66,67,0,1,21,46,174,46,152,0,22
2019,Loop,32,236,1.65,17,4,215,27,188,3547.54,31,9,48,60,67,2,213,191,24,24,0,112,103,96,95,16,8,16,8,0,0,56,47,112,52,47,92,4,0,20,56,159,47,144,9,15
2010,Near South Side,33,375,7.18,1,3,371,24,347,2621.26,22,44,125,117,63,18,353,335,36,24,12,204,167,193,142,11,25,9,15,2,10,98,50,223,97,50,188,1,0,35,78,293,74,261,4,32
2011,Near South Side,33,337,6.28,5,4,328,24,304,2764.53,24,55,88,97,64,14,314,285,43,37,6,160,168,143,142,17,26,14,23,3,3,85,43,200,82,41,162,3,2,38,48,280,46,239,2,41
2012,Near South Side,33,300,5.43,7,1,292,35,257,2494.95,32,31,99,82,48,16,276,259,33,26,7,158,134,144,115,14,19,14,12,0,7,71,51,170,70,51,138,1,0,32,71,221,68,191,3,30
2013,Near South Side,33,270,4.76,14,3,253,38,215,2911.0,38,15,70,75,55,12,241,215,38,35,3,127,126,115,100,12,26,12,23,0,3,84,32,137,83,32,100,1,0,37,20,233,20,195,0,38
2014,Near South Side,33,278,4.78,23,4,251,38,213,3128.17,35,37,57,69,53,5,246,210,41,33,8,138,113,120,90,18,23,17,16,1,7,92,45,114,90,44,76,2,1,38,19,232,18,192,1,40
2015,Near South Side,33,185,3.1,10,1,174,19,155,2850.3,20,14,56,43,41,2,172,162,12,9,3,95,79,91,71,4,8,4,5,0,3,60,33,81,59,33,70,1,0,11,26,148,26,136,0,12
2016,Near South Side,33,189,3.09,21,0,168,31,137,2828.4,19,25,42,45,37,1,167,141,27,25,2,84,84,69,72,15,12,14,11,1,1,44,47,77,42,47,52,2,0,25,17,151,16,125,1,26
2017,Near South Side,33,225,3.59,13,0,212,17,195,3441.04,17,16,63,53,63,8,204,187,25,23,2,108,104,95,92,13,12,13,10,0,2,62,49,101,61,47,79,1,2,22,30,182,27,160,3,22
2018,Near South Side,33,249,3.88,16,1,232,15,217,3165.79,15,24,61,66,66,3,229,199,33,31,2,116,116,95,104,21,12,20,11,1,1,54,48,130,50,47,102,4,1,28,28,204,26,173,2,31
2019,Near South Side,33,235,3.58,10,7,218,22,196,2996.53,22,18,63,62,53,1,217,196,22,20,2,104,114,90,106,14,8,14,6,0,2,55,58,105,52,58,86,3,0,19,38,180,37,159,1,21
2010,Armour Square,34,38,1.12,0,0,38,8,30,1200.0,8,14,7,8,1,5,33,35,3,1,2,15,23,15,20,0,3,0,1,0,2,10,9,19,10,9,16,0,0,3,1,37,1,34,0,3
2011,Armour Square,34,57,1.67,0,0,57,14,43,1400.0,14,15,16,7,5,7,50,42,15,6,9,32,25,26,16,6,9,5,1,1,8,17,3,37,16,3,23,1,0,14,6,51,6,36,0,15
2012,Armour Square,34,72,2.1,1,0,71,20,51,1362.69,21,21,15,11,3,8,63,58,13,7,6,33,38,30,28,3,10,3,4,0,6,21,14,36,20,14,24,1,0,12,13,58,12,46,1,12
2013,Armour Square,34,53,1.54,0,1,52,11,41,1410.0,11,15,15,7,4,4,48,42,10,2,8,30,22,28,14,2,8,2,0,0,8,24,8,20,24,8,10,0,0,10,4,48,4,38,0,10
2014,Armour Square,34,92,2.67,6,0,86,7,79,522.88,5,51,17,7,6,8,78,77,9,6,3,40,46,38,39,2,7,1,5,1,2,27,31,28,27,31,19,0,0,9,5,81,5,72,0,9
2015,Armour Square,34,34,0.98,2,1,31,6,25,1936.4,6,5,9,7,4,5,26,26,5,0,5,14,17,13,13,1,4,0,0,1,4,8,5,18,8,5,13,0,0,5,1,30,1,25,0,5
2016,Armour Square,34,33,0.95,4,0,29,5,24,2789.9,5,5,5,12,2,1,28,26,3,2,1,20,9,19,7,1,2,1,1,0,1,14,4,11,14,4,8,0,0,3,2,27,2,24,0,3
2017,Armour Square,34,18,0.52,1,0,17,2,15,2510.79,2,3,4,3,5,2,15,13,4,4,0,11,6,9,4,2,2,2,2,0,0,5,2,10,5,2,6,0,0,4,2,15,2,11,0,4
2018,Armour Square,34,19,0.54,1,0,18,2,16,3400.0,3,0,7,5,3,0,18,15,3,3,0,12,6,10,5,2,1,2,1,0,0,2,4,12,2,4,9,0,0,3,4,14,4,11,0,3
2019,Armour Square,34,31,0.89,3,1,27,3,24,3536.46,2,5,5,6,9,7,20,22,5,5,0,18,9,14,8,4,1,4,1,0,0,9,3,15,8,3,11,1,0,4,7,20,7,15,0,5
2010,Douglas,35,418,5.07,4,0,414,43,371,1209.24,39,156,116,65,38,15,399,373,41,26,15,188,226,170,203,18,23,17,9,1,14,128,100,186,126,99,148,2,1,38,62,352,59,314,3,38
2011,Douglas,35,376,4.55,4,5,367,40,327,1350.0,38,111,113,65,40,27,340,335,32,21,11,172,195,160,175,12,20,9,12,3,8,105,53,209,104,52,179,1,1,30,63,304,61,274,2,30
2012,Douglas,35,506,6.1,6,5,495,57,438,1314.55,51,161,163,81,39,9,486,443,52,27,25,257,238,234,209,23,29,16,11,7,18,173,108,214,170,105,168,3,3,46,77,418,73,370,4,48
2013,Douglas,35,474,5.7,6,1,467,69,398,1112.63,43,181,144,53,46,10,457,423,44,20,24,244,223,230,193,14,30,12,8,2,22,185,113,169,182,111,130,3,2,39,20,447,19,404,1,43
2014,Douglas,35,453,5.43,20,2,431,41,390,1369.57,41,120,185,58,27,10,421,400,31,21,10,232,199,221,179,11,20,8,13,3,7,170,99,162,168,98,134,2,1,28,26,405,25,375,1,30
2015,Douglas,35,321,3.83,28,1,292,32,260,1369.0,29,59,158,32,14,8,284,267,25,16,9,140,152,133,134,7,18,6,10,1,8,93,67,132,93,66,108,0,1,24,35,257,35,232,0,25
2016,Douglas,35,340,4.05,50,4,286,24,262,1628.83,24,44,140,52,26,4,282,255,31,22,9,157,129,146,109,11,20,10,12,1,8,94,45,147,90,45,120,4,0,27,43,243,42,213,1,30
2017,Douglas,35,307,3.64,21,4,282,27,255,1561.33,27,41,145,52,17,13,269,255,27,20,7,137,145,124,131,13,14,11,9,2,5,74,68,140,74,68,113,0,0,27,36,246,36,219,0,27
2018,Douglas,35,324,3.83,39,5,280,30,250,1448.5,31,45,137,42,25,6,274,243,37,29,8,154,126,137,106,17,20,16,13,1,7,67,41,172,65,40,138,2,1,34,73,207,70,173,3,34
2019,Douglas,35,280,3.3,37,12,231,23,208,2264.0,23,24,88,71,25,3,228,202,29,25,4,134,97,119,83,15,14,13,12,2,2,58,27,146,57,27,118,1,0,28,61,170,57,145,4,25
2010,Oakland,36,170,8.22,2,4,164,27,137,1734.64,27,34,62,26,15,4,160,137,27,14,13,99,65,91,46,8,19,6,8,2,11,61,21,82,60,21,56,1,0,26,15,149,13,124,2,25
2011,Oakland,36,139,6.48,0,3,136,27,109,1569.0,27,29,55,14,11,5,131,119,17,8,9,79,57,74,45,5,12,3,5,2,7,43,20,73,42,19,58,1,1,15,19,117,19,100,0,17
2012,Oakland,36,143,6.44,3,3,137,19,118,1884.0,23,16,54,33,11,3,134,116,21,10,11,74,63,71,45,3,18,2,8,1,10,55,21,61,55,21,40,0,0,21,29,108,29,87,0,21
2013,Oakland,36,140,6.09,4,1,135,33,102,1642.0,27,24,55,21,8,5,130,113,22,10,12,82,53,74,39,8,14,6,4,2,10,61,21,53,61,20,32,0,1,21,12,123,11,102,1,21
2014,Oakland,36,198,8.34,15,1,182,9,173,1839.94,9,24,96,42,11,4,178,170,12,10,2,101,81,93,77,8,4,8,2,0,2,76,37,69,75,37,58,1,0,11,9,173,9,161,0,12
2015,Oakland,36,122,4.98,9,1,112,6,106,1776.88,6,22,52,28,4,3,109,97,15,10,5,65,47,58,39,7,8,6,4,1,4,42,23,47,41,22,34,1,1,13,7,105,7,90,0,15
2016,Oakland,36,141,5.58,21,0,120,10,110,2932.5,10,12,36,40,22,2,118,106,14,12,2,73,47,69,37,4,10,4,8,0,2,46,15,59,45,15,46,1,0,13,14,106,13,93,1,13
2017,Oakland,36,183,7.03,19,4,160,3,157,2167.02,4,27,59,48,22,2,158,145,15,12,3,90,70,85,60,5,10,5,7,0,3,66,50,44,65,50,30,1,0,14,21,139,21,124,0,15
2018,Oakland,36,186,6.94,30,7,149,12,137,1804.22,21,29,56,29,14,1,148,136,13,7,6,81,68,76,60,5,8,4,3,1,5,41,34,74,40,33,63,1,1,11,25,124,23,113,2,11
2019,Oakland,36,127,4.61,12,4,111,14,97,2122.5,14,21,39,27,10,1,110,98,13,12,1,67,44,62,36,5,8,5,7,0,1,31,13,67,31,13,54,0,0,13,40,71,39,59,1,12
2010,Fuller Park,37,40,4.46,3,1,36,9,27,1200.0,9,13,12,2,0,17,19,32,4,3,1,20,16,19,13,1,3,0,3,1,0,10,3,23,10,3,19,0,0,4,7,29,6,26,1,3
2011,Fuller Park,37,51,5.72,3,0,48,18,30,736.6,18,18,9,2,1,8,40,43,5,2,3,29,19,28,15,1,4,1,1,0,3,18,3,27,18,3,22,0,0,5,6,42,6,37,0,5
2012,Fuller Park,37,72,8.12,4,0,68,13,55,898.0,13,28,16,6,5,15,53,59,9,5,4,39,29,34,25,5,4,3,2,2,2,18,10,40,17,10,32,1,0,8,12,56,11,48,1,8
2013,Fuller Park,37,60,6.81,0,0,60,19,41,1088.0,19,20,10,6,5,14,46,54,6,3,3,36,24,34,20,2,4,2,1,0,3,21,9,30,21,9,24,0,0,6,0,60,0,54,0,6
2014,Fuller Park,37,66,7.54,3,0,63,15,48,788.99,13,28,14,6,2,10,53,55,8,4,4,34,29,30,25,4,4,2,2,2,2,23,18,22,23,18,14,0,0,8,2,61,2,53,0,8
2015,Fuller Park,37,48,5.52,6,0,42,11,31,1051.75,11,15,10,4,2,9,33,39,3,1,2,29,13,29,10,0,3,0,1,0,2,19,2,21,19,2,18,0,0,3,4,38,4,35,0,3
2016,Fuller Park,37,50,5.78,6,0,44,9,35,1544.94,9,13,11,8,3,8,36,38,6,6,0,27,17,25,13,2,4,2,4,0,0,19,6,19,19,6,13,0,0,6,5,39,3,35,2,4
2017,Fuller Park,37,37,4.31,7,0,30,6,24,1919.94,7,3,14,4,2,7,23,26,4,3,1,18,12,15,11,3,1,3,0,0,1,9,6,15,7,6,13,2,0,2,2,28,2,24,0,4
2018,Fuller Park,37,28,3.28,6,0,22,8,14,2600.0,7,3,4,8,0,5,17,21,1,1,0,13,9,12,9,1,0,1,0,0,0,6,4,12,6,4,11,0,0,1,2,20,2,19,0,1
2019,Fuller Park,37,36,4.24,9,0,27,6,21,2617.5,7,4,6,6,4,7,20,26,1,1,0,18,9,18,8,0,1,0,1,0,0,9,3,15,9,3,14,0,0,1,6,21,6,20,0,1
2010,Grand Boulevard,38,535,7.3,25,1,509,94,415,1891.13,86,121,152,108,42,65,444,443,66,46,20,294,215,267,176,27,39,21,25,6,14,183,69,257,178,69,196,5,0,61,80,429,77,366,3,63
2011,Grand Boulevard,38,556,7.42,20,7,529,77,452,1790.0,74,128,156,116,55,71,458,475,54,36,18,290,239,271,204,19,35,19,17,0,18,162,65,302,161,64,250,1,1,52,83,446,78,397,5,49
2012,Grand Boulevard,38,571,7.45,32,5,534,71,463,1675.0,71,134,167,109,53,52,482,469,65,48,17,284,250,259,210,25,40,20,28,5,12,165,70,299,162,70,237,3,0,62,103,431,95,374,8,57
2013,Grand Boulevard,38,548,7.0,21,4,523,91,432,1671.3,92,127,146,101,57,65,458,459,64,46,18,310,213,286,173,24,40,21,25,3,15,189,62,272,186,59,214,3,3,58,46,477,45,414,1,63
2014,Grand Boulevard,38,481,6.02,52,3,426,38,388,1862.5,38,93,149,93,53,52,374,383,43,38,5,248,178,236,147,12,31,11,27,1,4,147,49,230,143,48,192,4,1,38,28,398,27,356,1,42
2015,Grand Boulevard,38,541,6.63,80,8,453,48,405,1987.94,48,82,161,107,55,49,404,398,55,50,5,253,200,229,169,24,31,24,26,0,5,124,63,266,123,62,213,1,1,53,48,405,47,351,1,54
2016,Grand Boulevard,38,474,5.69,68,8,398,43,355,2122.0,43,59,143,107,46,48,350,355,43,39,4,215,183,197,158,18,25,17,22,1,3,116,71,211,115,69,171,1,2,40,44,354,43,312,1,42
2017,Grand Boulevard,38,424,4.99,31,1,392,46,346,2628.0,45,40,123,123,61,33,359,334,58,50,8,202,190,176,158,26,32,25,25,1,7,101,69,222,98,66,170,3,3,52,51,341,48,286,3,55
2018,Grand Boulevard,38,391,4.52,33,5,353,41,312,2135.75,53,47,123,85,45,20,333,311,42,33,9,196,157,177,134,19,23,19,14,0,9,85,56,212,84,56,171,1,0,41,53,300,52,259,1,41
2019,Grand Boulevard,38,400,4.53,41,15,344,68,276,2780.5,68,30,96,103,47,20,324,309,35,31,4,208,136,192,117,16,19,16,15,0,4,78,42,224,77,41,191,1,1,33,93,251,87,222,6,29
2010,Kenwood,39,470,7.24,12,2,456,33,423,1540.0,30,134,156,75,61,18,438,406,50,39,11,234,222,213,193,21,29,21,18,0,11,143,91,222,142,91,173,1,0,49,61,395,59,347,2,48
2011,Kenwood,39,457,6.97,6,1,450,52,398,1505.73,42,136,147,63,62,20,430,396,54,42,12,222,228,200,196,22,32,20,22,2,10,134,65,251,131,63,202,3,2,49,56,394,51,345,5,49
2012,Kenwood,39,457,6.9,13,4,440,46,394,1580.0,43,117,171,63,46,38,402,410,30,24,6,209,231,197,213,12,18,11,13,1,5,125,84,231,123,83,204,2,1,27,86,354,83,327,3,27
2013,Kenwood,39,387,5.79,9,5,373,38,335,1900.0,36,65,145,57,70,28,345,345,28,21,7,227,146,210,135,17,11,14,7,3,4,126,51,196,123,50,172,3,1,24,43,330,43,302,0,28
