community_area,NAME,not_hispanic,hispanic,state,county,population,period
CHICAGO LAWN,"Census Tract 6610, Cook County, Illinois",24871.0,26481.0,17,31,51352.0,2015-2019
CLEARING,"Census Tract 6404, Cook County, Illinois",11474.0,13502.0,17,31,24976.0,2015-2019
DOUGLAS,"Census Tract 3510, Cook County, Illinois",20623.0,730.0,17,31,21353.0,2015-2019
DUNNING,"Census Tract 1709, Cook County, Illinois",30590.0,12855.0,17,31,43445.0,2015-2019
EAST GARFIELD PARK,"Census Tract 2705, Cook County, Illinois",18403.0,537.0,17,31,18940.0,2015-2019
EAST SIDE,"Census Tract 5204, Cook County, Illinois",4277.0,19446.0,17,31,23723.0,2015-2019
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",46980.0,8427.0,17,31,55407.0,2015-2019
EDISON PARK,"Census Tract 901, Cook County, Illinois",10133.0,1131.0,17,31,11264.0,2015-2019
ENGLEWOOD,"Census Tract 6814, Cook County, Illinois",22075.0,846.0,17,31,22921.0,2015-2019
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",16451.0,2933.0,17,31,19384.0,2015-2019
FULLER PARK,"Census Tract 8355, Cook County, Illinois",2211.0,119.0,17,31,2330.0,2015-2019
GAGE PARK,"Census Tract 6302, Cook County, Illinois",3256.0,34222.0,17,31,37478.0,2015-2019
GARFIELD RIDGE,"Census Tract 5609, Cook County, Illinois",18236.0,18971.0,17,31,37207.0,2015-2019
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",22130.0,513.0,17,31,22643.0,2015-2019
GREATER GRAND CROSSING,"Census Tract 6911, Cook County, Illinois",29625.0,524.0,17,31,30149.0,2015-2019
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",3598.0,5491.0,17,31,9089.0,2015-2019
HERMOSA,"Census Tract 2001, Cook County, Illinois",4119.0,19362.0,17,31,23481.0,2015-2019
HUMBOLDT PARK,"Census Tract 2307, Cook County, Illinois",23046.0,32318.0,17,31,55364.0,2015-2019
HYDE PARK,"Census Tract 4108, Cook County, Illinois",17360.0,1264.0,17,31,18624.0,2015-2019
IRVING PARK,"Census Tract 1609, Cook County, Illinois",31104.0,22426.0,17,31,53530.0,2015-2019
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",20697.0,6806.0,17,31,27503.0,2015-2019
KENWOOD,"Census Tract 3904, Cook County, Illinois",12205.0,377.0,17,31,12582.0,2015-2019
LAKE VIEW,"Census Tract 8319, Cook County, Illinois",81777.0,8084.0,17,31,89861.0,2015-2019
LINCOLN PARK,"Census Tract 8325, Cook County, Illinois",65125.0,4340.0,17,31,69465.0,2015-2019
LINCOLN SQUARE,"Census Tract 8308, Cook County, Illinois",34492.0,7611.0,17,31,42103.0,2015-2019
LOGAN SQUARE,"Census Tract 8309, Cook County, Illinois",44804.0,28473.0,17,31,73277.0,2015-2019
LOOP,"Census Tract 8390, Cook County, Illinois",35257.0,3398.0,17,31,38655.0,2015-2019
LOWER WEST SIDE,"Census Tract 3104, Cook County, Illinois",9876.0,23327.0,17,31,33203.0,2015-2019
MCKINLEY PARK,"Census Tract 5906, Cook County, Illinois",6625.0,8552.0,17,31,15177.0,2015-2019
MONTCLARE,"Census Tract 8316, Cook County, Illinois",5715.0,8552.0,17,31,14267.0,2015-2019
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",20151.0,899.0,17,31,21050.0,2015-2019
MOUNT GREENWOOD,"Census Tract 7403, Cook County, Illinois",17180.0,2010.0,17,31,19190.0,2015-2019
NEAR NORTH SIDE,"Census Tract 8383, Cook County, Illinois",77156.0,4784.0,17,31,81940.0,2015-2019
NEAR SOUTH SIDE,"Census Tract 3302, Cook County, Illinois",23352.0,1377.0,17,31,24729.0,2015-2019
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",57331.0,5839.0,17,31,63170.0,2015-2019
NEW CITY,"Census Tract 6119, Cook County, Illinois",15228.0,24280.0,17,31,39508.0,2015-2019
NORTH CENTER,"Census Tract 501, Cook County, Illinois",31473.0,4070.0,17,31,35543.0,2015-2019
NORTH LAWNDALE,"Census Tract 8386, Cook County, Illinois",29107.0,2966.0,17,31,32073.0,2015-2019
NORTH PARK,"Census Tract 8318, Cook County, Illinois",15107.0,3807.0,17,31,18914.0,2015-2019
NORWOOD PARK,"Census Tract 1004, Cook County, Illinois",32183.0,5741.0,17,31,37924.0,2015-2019
OAKLAND,"Census Tract 3602, Cook County, Illinois",3362.0,78.0,17,31,3440.0,2015-2019
OHARE,"Census Tract 7608.01, Cook County, Illinois",11507.0,1354.0,17,31,12861.0,2015-2019
PORTAGE PARK,"Census Tract 8317, Cook County, Illinois",36595.0,28010.0,17,31,64605.0,2015-2019
PULLMAN,"Census Tract 5001, Cook County, Illinois",6463.0,377.0,17,31,6840.0,2015-2019
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",7101.0,258.0,17,31,7359.0,2015-2019
ROGERS PARK,"Census Tract 8306, Cook County, Illinois",39767.0,10495.0,17,31,50262.0,2015-2019
ROSELAND,"Census Tract 4903, Cook County, Illinois",38703.0,459.0,17,31,39162.0,2015-2019
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",24022.0,5914.0,17,31,29936.0,2015-2019
SOUTH DEERING,"Census Tract 8388, Cook County, Illinois",10708.0,4767.0,17,31,15475.0,2015-2019
SOUTH LAWNDALE,"Census Tract 8305, Cook County, Illinois",12284.0,59873.0,17,31,72157.0,2015-2019
SOUTH SHORE,"Census Tract 4304, Cook County, Illinois",39148.0,1073.0,17,31,40221.0,2015-2019
UPTOWN,"Census Tract 8307, Cook County, Illinois",50370.0,8609.0,17,31,58979.0,2015-2019
WASHINGTON HEIGHTS,"Census Tract 7307, Cook County, Illinois",26437.0,305.0,17,31,26742.0,2015-2019
WASHINGTON PARK,"Census Tract 8345, Cook County, Illinois",10706.0,263.0,17,31,10969.0,2015-2019
WEST ELSDON,"Census Tract 6203, Cook County, Illinois",3654.0,15472.0,17,31,19126.0,2015-2019
WEST ENGLEWOOD,"Census Tract 6702, Cook County, Illinois",23878.0,2468.0,17,31,26346.0,2015-2019
WEST GARFIELD PARK,"Census Tract 2605, Cook County, Illinois",15930.0,485.0,17,31,16415.0,2015-2019
WEST LAWN,"Census Tract 6501, Cook County, Illinois",5111.0,26775.0,17,31,31886.0,2015-2019
WEST PULLMAN,"Census Tract 5303, Cook County, Illinois",25477.0,1551.0,17,31,27028.0,2015-2019
WEST RIDGE,"Census Tract 203.02, Cook County, Illinois",63631.0,14835.0,17,31,78466.0,2015-2019
WEST TOWN,"Census Tract 2423, Cook County, Illinois",65190.0,18567.0,17,31,83757.0,2015-2019
WOODLAWN,"Census Tract 4205, Cook County, Illinois",24008.0,836.0,17,31,24844.0,2015-2019
ALBANY PARK,Census Tract 1401; Cook County; Illinois,26580.0,21083.0,17,31,47663.0,2018-2022
ARCHER HEIGHTS,Census Tract 5701; Cook County; Illinois,2778.0,11089.0,17,31,13867.0,2018-2022
ARMOUR SQUARE,Census Tract 3403; Cook County; Illinois,12642.0,551.0,17,31,13193.0,2018-2022
ASHBURN,Census Tract 7001; Cook County; Illinois,22870.0,19875.0,17,31,42745.0,2018-2022
AUBURN GRESHAM,Census Tract 7101; Cook County; Illinois,44899.0,1569.0,17,31,46468.0,2018-2022
AUSTIN,Census Tract 2502; Cook County; Illinois,80656.0,19464.0,17,31,100120.0,2018-2022
AVALON PARK,Census Tract 4503; Cook County; Illinois,9598.0,49.0,17,31,9647.0,2018-2022
AVONDALE,Census Tract 2101; Cook County; Illinois,17757.0,18617.0,17,31,36374.0,2018-2022
BELMONT CRAGIN,Census Tract 1901; Cook County; Illinois,16449.0,57542.0,17,31,73991.0,2018-2022
BEVERLY,Census Tract 7201; Cook County; Illinois,18389.0,1392.0,17,31,19781.0,2018-2022
BRIDGEPORT,Census Tract 6004; Cook County; Illinois,26303.0,6918.0,17,31,33221.0,2018-2022
BRIGHTON PARK,Census Tract 5801; Cook County; Illinois,8454.0,33789.0,17,31,42243.0,2018-2022
BURNSIDE,Census Tract 4701; Cook County; Illinois,2137.0,109.0,17,31,2246.0,2018-2022
CALUMET HEIGHTS,Census Tract 4801; Cook County; Illinois,11589.0,498.0,17,31,12087.0,2018-2022
CHATHAM,Census Tract 4401.01; Cook County; Illinois,30558.0,783.0,17,31,31341.0,2018-2022
CHICAGO LAWN,Census Tract 6603.01; Cook County; Illinois,21919.0,30545.0,17,31,52464.0,2018-2022
CLEARING,Census Tract 6401; Cook County; Illinois,9846.0,14882.0,17,31,24728.0,2018-2022
DOUGLAS,Census Tract 3501; Cook County; Illinois,19858.0,1497.0,17,31,21355.0,2018-2022
DUNNING,Census Tract 1701; Cook County; Illinois,27954.0,14620.0,17,31,42574.0,2018-2022
