Community Area,NAME,female,state,county,population,period
DUNNING,Census Tract 1701; Cook County; Illinois,21824.0,17,31,42574.0,2018-2022
EAST GARFIELD PARK,Census Tract 2705; Cook County; Illinois,11005.0,17,31,19901.0,2018-2022
EAST SIDE,Census Tract 5201; Cook County; Illinois,12109.0,17,31,23942.0,2018-2022
EDGEWATER,Census Tract 301.01; Cook County; Illinois,26321.0,17,31,53802.0,2018-2022
EDISON PARK,Census Tract 901; Cook County; Illinois,5938.0,17,31,11402.0,2018-2022
ENGLEWOOD,Census Tract 6805; Cook County; Illinois,11219.0,17,31,21378.0,2018-2022
FOREST GLEN,Census Tract 1201; Cook County; Illinois,10030.0,17,31,19855.0,2018-2022
FULLER PARK,Census Tract 8355; Cook County; Illinois,1125.0,17,31,2142.0,2018-2022
GAGE PARK,Census Tract 6303; Cook County; Illinois,17566.0,17,31,34788.0,2018-2022
GARFIELD RIDGE,Census Tract 5601; Cook County; Illinois,17795.0,17,31,36401.0,2018-2022
GRAND BOULEVARD,Census Tract 3801; Cook County; Illinois,14237.0,17,31,24813.0,2018-2022
GREATER GRAND CROSSING,Census Tract 6903; Cook County; Illinois,16071.0,17,31,28991.0,2018-2022
HEGEWISCH,Census Tract 5501; Cook County; Illinois,4327.0,17,31,9025.0,2018-2022
HERMOSA,Census Tract 2001; Cook County; Illinois,11288.0,17,31,23157.0,2018-2022
HUMBOLDT PARK,Census Tract 2301; Cook County; Illinois,29333.0,17,31,55416.0,2018-2022
HYDE PARK,Census Tract 4102; Cook County; Illinois,10102.0,17,31,19850.0,2018-2022
IRVING PARK,Census Tract 1601; Cook County; Illinois,26790.0,17,31,53584.0,2018-2022
JEFFERSON PARK,Census Tract 1101; Cook County; Illinois,13901.0,17,31,27032.0,2018-2022
KENWOOD,Census Tract 3901; Cook County; Illinois,6915.0,17,31,12575.0,2018-2022
LAKE VIEW,Census Tract 601; Cook County; Illinois,44142.0,17,31,90421.0,2018-2022
LINCOLN PARK,Census Tract 701.01; Cook County; Illinois,34962.0,17,31,69099.0,2018-2022
LINCOLN SQUARE,Census Tract 401; Cook County; Illinois,21960.0,17,31,42271.0,2018-2022
LOGAN SQUARE,Census Tract 2203; Cook County; Illinois,36591.0,17,31,72332.0,2018-2022
LOOP,Census Tract 3201.01; Cook County; Illinois,20865.0,17,31,41671.0,2018-2022
LOWER WEST SIDE,Census Tract 3102; Cook County; Illinois,17035.0,17,31,34237.0,2018-2022
MCKINLEY PARK,Census Tract 5905; Cook County; Illinois,7778.0,17,31,15479.0,2018-2022
MONTCLARE,Census Tract 1801; Cook County; Illinois,7051.0,17,31,13765.0,2018-2022
MORGAN PARK,Census Tract 7501; Cook County; Illinois,11069.0,17,31,20718.0,2018-2022
MOUNT GREENWOOD,Census Tract 7401; Cook County; Illinois,9565.0,17,31,19121.0,2018-2022
NEAR NORTH SIDE,Census Tract 801; Cook County; Illinois,45773.0,17,31,88784.0,2018-2022
NEAR SOUTH SIDE,Census Tract 3301.01; Cook County; Illinois,14455.0,17,31,28216.0,2018-2022
