Community Area,NAME,no_hs,hs,some_college,state,county,bachelors,graduate,population,period
FULLER PARK,"Census Tract 8355, Cook County, Illinois",0.162799842705466,0.2327959103421156,0.19347227683837986,17,31,0.04522217852929611,0.04522217852929611,2543.0,2010-2014
GAGE PARK,"Census Tract 6308, Cook County, Illinois",0.27240533914464726,0.1701295163567024,0.08352938263044501,17,31,0.024367895792575717,0.007132067061241673,40381.0,2010-2014
GARFIELD RIDGE,"Census Tract 9801, Cook County, Illinois",0.12264341018334629,0.22369973807673488,0.19241286014448955,17,31,0.10128659010448147,0.04832628155311861,34743.0,2010-2014
GRAND BOULEVARD,"Census Tract 8436, Cook County, Illinois",0.10248102614176025,0.1532555146242954,0.22497891793528915,17,31,0.09329368425724557,0.07926856331276907,22531.0,2010-2014
GREATER GRAND CROSSING,"Census Tract 6913, Cook County, Illinois",0.09294042436603854,0.18304971232000974,0.23894182471308106,17,31,0.07169168011202777,0.030259673049407895,32849.0,2010-2014
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",0.12561576354679804,0.22178196615977724,0.2191047333476119,17,31,0.09102591561362176,0.040265581494966805,9338.0,2010-2014
HERMOSA,"Census Tract 2004.01, Cook County, Illinois",0.2491141890803672,0.1672974714124658,0.12449669834111773,17,31,0.04412948945079723,0.01453535190851989,24836.0,2010-2014
HUMBOLDT PARK,"Census Tract 2308, Cook County, Illinois",0.1758965422360818,0.1882234247454829,0.13678803998899386,17,31,0.055636063468770064,0.017536457855636064,54515.0,2010-2014
HYDE PARK,"Census Tract 8362, Cook County, Illinois",0.019931939718035974,0.05315183924809593,0.0988494571382272,17,31,0.1542159563549938,0.27024253227461786,18513.0,2010-2014
IRVING PARK,"Census Tract 1605.02, Cook County, Illinois",0.14639759249424678,0.15737298636926889,0.14917684545937335,17,31,0.1631616215259338,0.07316339175075234,56490.0,2010-2014
JEFFERSON PARK,"Census Tract 1103, Cook County, Illinois",0.09597775718257646,0.19506950880444857,0.19733086190917518,17,31,0.15755329008341057,0.0709545875810936,26975.0,2010-2014
KENWOOD,"Census Tract 3904, Cook County, Illinois",0.09118012422360249,0.11875776397515528,0.177888198757764,17,31,0.13217391304347825,0.1619047619047619,12075.0,2010-2014
LAKE VIEW,"Census Tract 628, Cook County, Illinois",0.0185819126890535,0.04705586022921127,0.0964015433406226,17,31,0.35338836540993557,0.2334016463826523,87343.0,2010-2014
LINCOLN PARK,"Census Tract 705, Cook County, Illinois",0.0218343922002699,0.034404330487786385,0.06685266334096526,17,31,0.3122621340085821,0.26131521887461906,65951.0,2010-2014
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",0.08243356006776746,0.1006650314815283,0.14807697170455408,17,31,0.27784661289099044,0.17174501226388852,39547.0,2010-2014
LOGAN SQUARE,"Census Tract 2226, Cook County, Illinois",0.09598271554925393,0.14892984943622983,0.1307271622442779,17,31,0.2086692323273243,0.10917561272027547,74055.0,2010-2014
LOOP,"Census Tract 3204, Cook County, Illinois",0.017133346387311534,0.043502382351021475,0.10390966647085699,17,31,0.3029175641276679,0.2912995235297957,30642.0,2010-2014
LOWER WEST SIDE,"Census Tract 3105, Cook County, Illinois",0.22107550244432372,0.1626118528259813,0.11158123445495868,17,31,0.09417078818719803,0.040767317533377166,34979.0,2010-2014
MCKINLEY PARK,"Census Tract 5907, Cook County, Illinois",0.1983099276551766,0.20128883214785093,0.1226214359535534,17,31,0.07763389871724725,0.037631466958477716,16449.0,2010-2014
MONTCLARE,"Census Tract 1801, Cook County, Illinois",0.1557632398753894,0.20459501557632398,0.18473520249221184,17,31,0.07538940809968847,0.03161993769470405,12840.0,2010-2014
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",0.06567833132218583,0.16751422168591623,0.24056197207378038,17,31,0.11011032580589554,0.09515600758489916,23204.0,2010-2014
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",0.030070272920411832,0.1812932396361061,0.21365146810481014,17,31,0.1379855096148608,0.07697336166040203,18357.0,2010-2014
NEAR NORTH SIDE,"Census Tract 811, Cook County, Illinois",0.022111231101511877,0.04967602591792657,0.11430885529157668,17,31,0.3464767818574514,0.294951403887689,74080.0,2010-2014
NEAR SOUTH SIDE,"Census Tract 8410, Cook County, Illinois",0.051632532582534856,0.06230416420689342,0.1384133327278507,17,31,0.25552881340538575,0.2874528858816584,22021.0,2010-2014
