NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract
"Census Tract 8275, Cook County, Illinois",1476.0,2766.0,0.0,0.0,0.0,1095.0,31.0,17,031,827500
"Census Tract 8278.01, Cook County, Illinois",1759.0,2814.0,0.0,84.0,9.0,19.0,67.0,17,031,827801
"Census Tract 8285.06, Cook County, Illinois",3459.0,5474.0,0.0,83.0,0.0,163.0,73.0,17,031,828506
"Census Tract 8291, Cook County, Illinois",1794.0,484.0,94.0,0.0,0.0,1367.0,54.0,17,031,829100
"Census Tract 8295, Cook County, Illinois",2370.0,787.0,21.0,0.0,0.0,817.0,159.0,17,031,829500
"Census Tract 8300.04, Cook County, Illinois",885.0,6120.0,14.0,55.0,0.0,3.0,31.0,17,031,830004
"Census Tract 8300.05, Cook County, Illinois",1034.0,2994.0,0.0,105.0,0.0,0.0,59.0,17,031,830005
"Census Tract 8300.06, Cook County, Illinois",800.0,1339.0,0.0,0.0,0.0,55.0,69.0,17,031,830006
"Census Tract 8302.01, Cook County, Illinois",1045.0,4615.0,12.0,181.0,0.0,0.0,114.0,17,031,830201
"Census Tract 8366, Cook County, Illinois",766.0,745.0,0.0,0.0,0.0,901.0,14.0,17,031,836600
"Census Tract 8363, Cook County, Illinois",459.0,923.0,0.0,82.0,0.0,67.0,52.0,17,031,836300
"Census Tract 8364, Cook County, Illinois",146.0,2915.0,0.0,103.0,0.0,33.0,12.0,17,031,836400
"Census Tract 8365, Cook County, Illinois",76.0,1572.0,0.0,0.0,0.0,0.0,0.0,17,031,836500
"Census Tract 8367, Cook County, Illinois",250.0,1977.0,0.0,0.0,0.0,371.0,0.0,17,031,836700
"Census Tract 8368, Cook County, Illinois",46.0,2148.0,0.0,0.0,0.0,28.0,39.0,17,031,836800
"Census Tract 8369, Cook County, Illinois",84.0,1407.0,0.0,14.0,0.0,48.0,0.0,17,031,836900
"Census Tract 8370, Cook County, Illinois",146.0,2255.0,0.0,1.0,0.0,50.0,5.0,17,031,837000
"Census Tract 8371, Cook County, Illinois",329.0,1456.0,0.0,0.0,0.0,68.0,86.0,17,031,837100
"Census Tract 8373, Cook County, Illinois",120.0,1929.0,0.0,33.0,0.0,58.0,18.0,17,031,837300
"Census Tract 8374, Cook County, Illinois",198.0,1825.0,0.0,11.0,0.0,0.0,0.0,17,031,837400
"Census Tract 8378, Cook County, Illinois",511.0,2534.0,0.0,162.0,0.0,160.0,51.0,17,031,837800
"Census Tract 8037.02, Cook County, Illinois",4616.0,14.0,0.0,889.0,0.0,218.0,215.0,17,031,803702
"Census Tract 8041.08, Cook County, Illinois",1602.0,339.0,0.0,1646.0,13.0,151.0,64.0,17,031,804108
"Census Tract 8041.09, Cook County, Illinois",2410.0,181.0,0.0,164.0,0.0,124.0,113.0,17,031,804109
"Census Tract 8043.08, Cook County, Illinois",3371.0,88.0,0.0,1223.0,0.0,291.0,184.0,17,031,804308
"Census Tract 8043.09, Cook County, Illinois",1610.0,43.0,0.0,577.0,0.0,674.0,53.0,17,031,804309
"Census Tract 8043.10, Cook County, Illinois",5681.0,216.0,0.0,2244.0,0.0,1103.0,114.0,17,031,804310
"Census Tract 8043.11, Cook County, Illinois",4350.0,31.0,74.0,2315.0,0.0,1477.0,260.0,17,031,804311
"Census Tract 8044.03, Cook County, Illinois",4844.0,406.0,103.0,1012.0,0.0,319.0,150.0,17,031,804403
"Census Tract 8044.04, Cook County, Illinois",3110.0,205.0,0.0,601.0,0.0,1313.0,97.0,17,031,804404
"Census Tract 8044.05, Cook County, Illinois",1072.0,363.0,0.0,136.0,0.0,1734.0,71.0,17,031,804405
"Census Tract 3504, Cook County, Illinois",21.0,1268.0,0.0,0.0,0.0,57.0,33.0,17,031,350400
"Census Tract 3206, Cook County, Illinois",2669.0,789.0,9.0,800.0,0.0,88.0,96.0,17,031,320600
"Census Tract 8048.10, Cook County, Illinois",5134.0,334.0,0.0,970.0,0.0,402.0,177.0,17,031,804810
"Census Tract 8049.01, Cook County, Illinois",5840.0,57.0,0.0,311.0,0.0,25.0,101.0,17,031,804901
