NAME,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,state,county,tract
"Census Tract 7608.03, Cook County, Illinois",568.0,1174.0,1565.0,894.0,494.0,17,031,760803
"Census Tract 7702.01, Cook County, Illinois",300.0,987.0,1367.0,1270.0,590.0,17,031,770201
"Census Tract 7702.02, Cook County, Illinois",232.0,1008.0,1407.0,679.0,315.0,17,031,770202
"Census Tract 7706.01, Cook County, Illinois",200.0,609.0,772.0,644.0,281.0,17,031,770601
"Census Tract 7706.02, Cook County, Illinois",866.0,1065.0,733.0,585.0,280.0,17,031,770602
"Census Tract 7709.01, Cook County, Illinois",489.0,1151.0,1215.0,598.0,346.0,17,031,770901
"Census Tract 7709.02, Cook County, Illinois",339.0,757.0,796.0,431.0,222.0,17,031,770902
"Census Tract 8020.03, Cook County, Illinois",152.0,227.0,384.0,626.0,383.0,17,031,802003
"Census Tract 8020.04, Cook County, Illinois",321.0,658.0,1212.0,688.0,683.0,17,031,802004
"Census Tract 8237.02, Cook County, Illinois",489.0,1049.0,1399.0,764.0,535.0,17,031,823702
"Census Tract 8250, Cook County, Illinois",614.0,836.0,1116.0,692.0,286.0,17,031,825000
"Census Tract 8262.01, Cook County, Illinois",284.0,566.0,1223.0,528.0,253.0,17,031,826201
"Census Tract 8263.01, Cook County, Illinois",317.0,873.0,883.0,336.0,153.0,17,031,826301
"Census Tract 6715, Cook County, Illinois",303.0,724.0,417.0,71.0,34.0,17,031,671500
"Census Tract 6716, Cook County, Illinois",303.0,460.0,443.0,28.0,0.0,17,031,671600
"Census Tract 6720, Cook County, Illinois",328.0,744.0,761.0,197.0,199.0,17,031,672000
"Census Tract 8024.03, Cook County, Illinois",29.0,170.0,285.0,396.0,268.0,17,031,802403
"Census Tract 8024.04, Cook County, Illinois",841.0,1782.0,963.0,1137.0,567.0,17,031,802404
"Census Tract 8025.05, Cook County, Illinois",1077.0,900.0,846.0,999.0,375.0,17,031,802505
"Census Tract 8025.06, Cook County, Illinois",280.0,524.0,349.0,387.0,111.0,17,031,802506
"Census Tract 8026.07, Cook County, Illinois",30.0,173.0,224.0,256.0,200.0,17,031,802607
"Census Tract 8026.08, Cook County, Illinois",206.0,1168.0,1426.0,1402.0,766.0,17,031,802608
"Census Tract 8026.09, Cook County, Illinois",743.0,1093.0,1023.0,787.0,566.0,17,031,802609
"Census Tract 8026.10, Cook County, Illinois",61.0,329.0,392.0,325.0,188.0,17,031,802610
"Census Tract 8030.12, Cook County, Illinois",108.0,179.0,333.0,534.0,366.0,17,031,803012
"Census Tract 8030.13, Cook County, Illinois",125.0,649.0,1182.0,1158.0,841.0,17,031,803013
"Census Tract 8030.14, Cook County, Illinois",320.0,478.0,619.0,670.0,358.0,17,031,803014
"Census Tract 8030.15, Cook County, Illinois",137.0,549.0,797.0,1079.0,741.0,17,031,803015
"Census Tract 8030.16, Cook County, Illinois",73.0,183.0,199.0,759.0,599.0,17,031,803016
"Census Tract 8030.17, Cook County, Illinois",176.0,527.0,1386.0,1811.0,805.0,17,031,803017
"Census Tract 8036.11, Cook County, Illinois",590.0,1008.0,1036.0,976.0,275.0,17,031,803611
